State,DUN,Name,Party,Vote,Result
Pahang,Tanah Rata,Ho Chi Yang,Pakatan Harapan,9856,Menang
Pahang,Tanah Rata,Wong Yap Wah,Barisan Nasional,7372,Kalah
Pahang,Tanah Rata,Lai Chii,Perikatan Nasional,1353,Kalah
Pahang,Jelai,Dato' Sri Wan Rosdy Bin Wan Ismail,Barisan Nasional,10092,Menang
Pahang,Jelai,Dr. Abdul Rasid,Perikatan Nasional,3109,Kalah
Pahang,Jelai,Ismail Bin Mohd Hussin,Pakatan Harapan,1465,Kalah
Pahang,Padang Tengku,Mustapa Long,Barisan Nasional,7198,Menang
Pahang,Padang Tengku,Khaider Kamil,Perikatan Nasional,6691,Kalah
Pahang,Padang Tengku,Ruzi @ Nata Bin Yusuff,Pakatan Harapan,1203,Kalah
Pahang,Padang Tengku,Mohd Rostam Bin Mustapha,Parti Pejuang Tanahair,176,Kalah
Pahang,Cheka,Tuan Ibrahim,Perikatan Nasional,5634,Menang
Pahang,Cheka,Aishaton Binti Abu Bakar,Parti Pejuang Tanahair,81,Kalah
Pahang,Cheka,Rasid Bin Muhamad,Pakatan Harapan,2255,Kalah
Pahang,Cheka,Ho Fong Mee,Barisan Nasional,4411,Kalah
Pahang,Benta,Dato Sri Soffi Tan Sri Razak,Barisan Nasional,3948,Menang
Pahang,Benta,Rizal Bin Jamin,Pakatan Harapan,2427,Kalah
Pahang,Benta,Cikgu Embong Lias,Perikatan Nasional,1814,Kalah
Pahang,Batu Talam,Abd Aziz Bin Mat Kiram,Barisan Nasional,7992,Menang
Pahang,Batu Talam,Ahmad Sabri Bin Mat Dui,Perikatan Nasional,5123,Kalah
Pahang,Batu Talam,Shahuddin Bin Abdul Rahman,Pakatan Harapan,1969,Kalah
Pahang,Tras,Lim Teck Hoe,Barisan Nasional,5858,Kalah
Pahang,Tras,Amirul Kuek,Perikatan Nasional,4233,Kalah
Pahang,Tras,Tengku Zulpuri Shah Bin Raja Puji,Pakatan Harapan,17255,Menang
Pahang,Tras,Ustaz Tahir,Parti Pejuang Tanahair,340,Kalah
Pahang,Dong,Fadzli Bin Mohamad Kamal,Barisan Nasional,6142,Menang
Pahang,Dong,Tengku Amir,Perikatan Nasional,5096,Kalah
Pahang,Dong,Mohd Jawaad ,Pakatan Harapan,2309,Kalah
Pahang,Tahan,Faezah Ishak,Barisan Nasional,6763,Kalah
Pahang,Tahan,Ustaz Zakuan,Perikatan Nasional,8777,Menang
Pahang,Tahan,Talib Tahar,Pakatan Harapan,724,Kalah
Pahang,Damak,Fasal Jamlus,Barisan Nasional,6655,Kalah
Pahang,Damak,Zuridan Bin Mohd Daud,Perikatan Nasional,10883,Menang
Pahang,Damak,Izzuddin Bin Ismail,Bebas,82,Kalah
