State,Parliment,Name,Party,Vote,Result
Johor,Segamat,R. Yuneswaran,Pakatan Harapan,23437,Menang
Johor,Segamat,Poobalan Ponnusamy,Perikatan Nasional,8385,Kalah
Johor,Segamat,Syed Hairoul,Parti Pejuang Tanahair,1062,Kalah
Johor,Segamat,Tan Sri M Ramasamy,Barisan Nasional,17768,Kalah
Johor,Sekijang,Dr. Zaliha Mustafa,Pakatan Harapan,18941,Menang
Johor,Sekijang,Md Salleheen Bin Mohamad,Barisan Nasional,17207,Kalah
Johor,Sekijang,Uzzair Bin Ismail,Perikatan Nasional,11612,Kalah
Johor,Sekijang,Dr. Mohd Zohar,Parti Warisan Sabah,0,Kalah
Johor,Sekijang,Saiful Faizal,Parti Pejuang Tanahair,0,Kalah
Johor,Labis,Pang Hok Liong,Pakatan Harapan,16133,Menang
Johor,Labis,Chua Tee Yong,Barisan Nasional,13300,Kalah
Johor,Labis,Alvin Chang,Perikatan Nasional,5312,Kalah
Johor,Pagoh,Iskandar Shah,Pakatan Harapan,14979,Kalah
Johor,Pagoh,Datuk Seri Razali Ibrahim,Barisan Nasional,14426,Kalah
Johor,Pagoh,Tan Sri Muhyiddin Bin Md Yasin,Perikatan Nasional,24986,Menang
Johor,Ledang,Syed Ibrahim Syed Noh,Pakatan Harapan,33650,Menang
Johor,Ledang,Hamim Samuri,Barisan Nasional,23881,Kalah
Johor,Ledang,Zaidi Hj Majid,Perikatan Nasional,22292,Kalah
Johor,Ledang,Rafidah Ridwan,Parti Pejuang Tanahair,269,Kalah
Johor,Ledang,Zainal Bahrom,Bebas,75,Kalah
Johor,Ledang,Cikgu Yunus,Bebas,140,Kalah
Johor,Bakri,Tan Hong Pin,Pakatan Harapan,36636,Menang
Johor,Bakri,Chris Lee Ching Yong,Barisan Nasional,17382,Kalah
Johor,Bakri,R. S. Chelva,Perikatan Nasional,17222,Kalah
Johor,Bakri,Haron Jaffar,Bebas,1900,Kalah
Johor,Muar,Syed Saddiq,Ikatan Demokratik Malaysia,19961,Menang
Johor,Muar,Mohd Helmy Abd.Latif,Barisan Nasional,14581,Kalah
Johor,Muar,Ustaz Abdullah Husin,Perikatan Nasional,18616,Kalah
Johor,Parit Sulong,Noraini Ahmad,Barisan Nasional,25740,Menang
Johor,Parit Sulong,Dr Karim,Perikatan Nasional,23719,Kalah
Johor,Parit Sulong,Mohd Faizal Dolah,Pakatan Harapan,13495,Kalah
Johor,Sri Gading,Datuk Lassim Burhan,Barisan Nasional,19242,Kalah
Johor,Sri Gading,Zanariyah ,Perikatan Nasional,18475,Kalah
Johor,Sri Gading,Mahdzir Bin Ibrahim,Parti Pejuang Tanahair,305,Kalah
Johor,Sri Gading,Cikgu Huda,Pakatan Harapan,23242,Menang
Johor,Batu Pahat,Ishak Siraj ,Barisan Nasional,24309,Kalah
Johor,Batu Pahat,Dato' Rashid Hasnon,Perikatan Nasional,29270,Kalah
Johor,Batu Pahat,Nizam Bashir,Parti Pejuang Tanahair,410,Kalah
Johor,Batu Pahat,Onn Bin Abu Bakar,Pakatan Harapan,45242,Menang
Johor,Batu Pahat,Zahari Bin Osman,Parti Rakyat Malaysia,263,Kalah
Johor,Simpang Renggam,Dr Maszlee Malik,Pakatan Harapan,16491,Kalah
Johor,Simpang Renggam,Hasni Bin Mohammad,Barisan Nasional,18312,Menang
Johor,Simpang Renggam,Fazrul Kamat,Perikatan Nasional,9077,Kalah
Johor,Simpang Renggam,Kamal,Parti Pejuang Tanahair,251,Kalah
Johor,Kluang,Wong Shu Qi,Pakatan Harapan,49801,Menang
Johor,Kluang,Gan Ping Sieu,Barisan Nasional,23395,Kalah
Johor,Kluang,Dzulkarnain Bin Alias,Perikatan Nasional,22021,Kalah
Johor,Kluang,Ir. U. Ramendran,Bebas,404,Kalah
Johor,Sembrong,Hasni Abas,Pakatan Harapan,11692,Kalah
Johor,Sembrong,Hishammuddin Hussein,Barisan Nasional,22572,Menang
Johor,Sembrong,Joe Aziz,Perikatan Nasional,6666,Kalah
Johor,Mersing,Zulaikha Zaidi,Pakatan Harapan,6813,Kalah
Johor,Mersing,Abd Latif Bandi,Barisan Nasional,18729,Kalah
Johor,Mersing,Islahuddin Abas,Perikatan Nasional,21066,Menang
Johor,Mersing,Nurfatimah Ibrahim,Parti Pejuang Tanahair,209,Kalah
Johor,Mersing,Ismail Bin Don,Bebas,89,Kalah
Johor,Tenggara,Zuraidah Chedah,Pakatan Harapan,11618,Kalah
Johor,Tenggara,Manndzri Bin Nasib,Barisan Nasional,21185,Menang
